id,Year,Field,Variety,Kg_He,Area_He,B1_mean,B2_mean,B3_mean,B4_mean,B5_mean,B6_mean,B7_mean,B8_mean,B8A_mean,B9_mean,B10_mean,B11_mean,B12_mean,EVI_mean,GNDVI_mean,NDMI_mean,NDVI_mean,VH_mean,VV_mean,min_Temp,max_Temp,mean_Temp,sum_Temp,median_Temp,stdv_Temp,min_Hum,max_Hum,mean_Hum,sum_Hum,median_Hum,stdv_Hum,min_GGD,max_GGD,mean_GGD,sum_GGD,median_GGD,stdv_GGD,min_Evapo,max_Evapo,mean_Evapo,sum_Evapo,median_Evapo,stdv_Evapo,N.Unit.He,K20.Unit.He,P.Unit.He,CaO.Unit.He,MgO.Unit.He
1,2018,THOMPSON 00,THOMPSON,42209.0201385266,9.6,0.0539655052125454,0.0827706605195999,0.113496959209442,0.0909209847450256,0.14624559879303,0.343524575233459,0.418944537639618,0.423642694950104,0.438214004039764,0.512311279773712,0.00910885352641344,0.190983086824417,0.101741574704647,0.606675565242767,0.560060441493988,0.356565743684769,0.625832855701447,-16.6049270629883,-10.0967903137207,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
2,2018,THOMPSON 07,THOMPSON,37818.0558368301,3.4,0.0172848962247372,0.0231298319995403,0.0558998174965382,0.0401234962046146,0.100056104362011,0.296502739191055,0.360594868659973,0.366663724184036,0.379352539777756,0.435774922370911,0.021678552031517,0.176895916461945,0.103705793619156,0.557909905910492,0.706954717636108,0.312201112508774,0.761791348457336,-16.3880004882812,-9.69575977325439,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
3,2018,THOMPSON 08,THOMPSON,47094.339901664,3.4,0.0165532268583775,0.0245729833841324,0.0566026121377945,0.0437655001878738,0.102296024560928,0.287581562995911,0.347812533378601,0.352621555328369,0.368475824594498,0.441155076026917,0.0304924547672272,0.187705025076866,0.1130730509758,0.53290730714798,0.701784491539001,0.280274927616119,0.748411476612091,-16.5389804840088,-10.2688751220703,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
4,2018,THOMPSON 96,THOMPSON,39653.8641769946,9.5,0.0158508140593767,0.0225719008594751,0.0549793913960457,0.0385245084762573,0.0986562371253967,0.294813096523285,0.358643054962158,0.364265650510788,0.378697723150253,0.442798674106598,0.11307106167078,0.180166676640511,0.10445362329483,0.561354637145996,0.714371621608734,0.307685136795044,0.775035440921783,-16.4214954376221,-9.87065601348877,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
5,2018,CRIMSON 99-00,CRIMSON,48920.0149331063,12.2,0.0198015123605728,0.0244798753410578,0.061941035091877,0.0400575138628483,0.114655911922455,0.340105980634689,0.406598508358002,0.412137806415558,0.427371889352798,0.502495586872101,0.0378901809453964,0.196564733982086,0.108048222959042,0.622502446174622,0.716904699802399,0.322499305009842,0.789560258388519,-16.0767154693604,-9.28785133361816,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,80,160,40,32,80
6,2018,CRIMSON 04,CRIMSON,45584.6351038506,2.4,0.0271683745086193,0.0287202913314104,0.0655276477336884,0.0465834550559521,0.120669804513454,0.326297402381897,0.385101109743118,0.392088711261749,0.404473096132278,0.458486467599869,0.107797488570213,0.199815809726715,0.118075139820576,0.583493530750275,0.691552698612213,0.295488297939301,0.756220698356628,-16.157922744751,-9.25057601928711,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,80,160,30,32,40
7,2018,TIMCO 14 CR,TIMCO,48340.1290910048,4.1,0.0290695913136005,0.0365864410996437,0.0668899565935135,0.0637087449431419,0.117598548531532,0.284057885408401,0.339399516582489,0.34721964597702,0.360717236995697,0.432094901800156,0.0894503444433212,0.211951300501823,0.140612348914146,0.483372360467911,0.653939545154572,0.223478391766548,0.662280797958374,-17.1627178192139,-10.2353620529175,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,78,120,30,0,40
8,2018,INIAGRAPE ONE 14,INIAGRAPEONE,56278.9473684211,1.1,0.0265570357441902,0.0344070382416248,0.0635929480195045,0.064270943403244,0.116147927939892,0.262804388999939,0.315806835889816,0.322900980710983,0.340838193893433,0.425242304801941,0.064222514629364,0.216378211975098,0.144907057285309,0.443089485168457,0.65075671672821,0.183448642492294,0.643125534057617,-16.8908348083496,-10.1259527206421,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,140,200,70,48,50
9,2018,SABLE 14,SABLE,36081.6737588652,4.2,0.0195139683783054,0.0288465172052383,0.0663398504257202,0.0522774271667004,0.11735488474369,0.322599560022354,0.393403470516205,0.401116609573364,0.418029189109802,0.500058591365814,0.206808313727379,0.218199461698532,0.134044796228409,0.573990225791931,0.685135066509247,0.263243973255157,0.724429786205292,-17.6726856231689,-10.8396644592285,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,63,120,40,14.4,40
10,2019,THOMPSON 00,THOMPSON,31973.8020833333,9.6,0.0627795159816742,0.0930034890770912,0.117204718291759,0.113156460225582,0.156428530812263,0.278318673372269,0.32405886054039,0.33321687579155,0.349005430936813,0.417057454586029,0.110986225306988,0.222419947385788,0.132816672325134,0.410333782434464,0.454274415969849,0.174180924892426,0.462353259325027,-16.9064254760742,-10.1977100372314,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,42,60,30,28.8,40
