id,Year,Field,Variety,Kg_He,Area_He,B1_max,B2_max,B3_max,B4_max,B5_max,B6_max,B7_max,B8_max,B8A_max,B9_max,B10_max,B11_max,B12_max,EVI_max,GNDVI_max,NDMI_max,NDVI_max,VH_max,VV_max,min_Temp,max_Temp,mean_Temp,sum_Temp,median_Temp,stdv_Temp,min_Hum,max_Hum,mean_Hum,sum_Hum,median_Hum,stdv_Hum,min_GGD,max_GGD,mean_GGD,sum_GGD,median_GGD,stdv_GGD,min_Evapo,max_Evapo,mean_Evapo,sum_Evapo,median_Evapo,stdv_Evapo,N.Unit.He,K20.Unit.He,P.Unit.He,CaO.Unit.He,MgO.Unit.He
1,2018,THOMPSON 00,THOMPSON,42209.0201385266,9.6,0.0646468102931976,0.0920861437916756,0.122551314532757,0.107158400118351,0.157621413469315,0.410343140363693,0.510339975357056,0.513845562934875,0.529180645942688,0.631309807300568,0.206606820225716,0.225604698061943,0.151593655347824,0.740731835365295,0.634364366531372,0.455785602331161,0.710761845111847,-14.5894136428833,-8.03816509246826,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
2,2018,THOMPSON 07,THOMPSON,37818.0558368301,3.4,0.0482757799327374,0.0492283180356026,0.0704422891139984,0.0788107588887215,0.112250365316868,0.401664406061172,0.496509104967117,0.502879500389099,0.513872981071472,0.602714538574219,0.277052223682404,0.214279070496559,0.176995605230331,0.778131604194641,0.808656692504883,0.494199723005295,0.914216756820679,-14.4410581588745,-7.64075517654419,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
3,2018,THOMPSON 08,THOMPSON,47094.339901664,3.4,0.0461656078696251,0.0496831238269806,0.072665274143219,0.0802515968680382,0.118078961968422,0.372477173805237,0.460976272821426,0.460235685110092,0.477938503026962,0.584916889667511,0.370428413152695,0.248301476240158,0.20209264755249,0.718492448329926,0.796093165874481,0.465288072824478,0.894124031066895,-14.4056768417358,-8.13602733612061,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
4,2018,THOMPSON 96,THOMPSON,39653.8641769946,9.5,0.0441243685781956,0.0453883782029152,0.0676501467823982,0.0737704187631607,0.110746376216412,0.391018062829971,0.484837144613266,0.489917248487473,0.502920508384705,0.605162441730499,1.59379065036774,0.231266662478447,0.184506386518478,0.764338493347168,0.808331429958344,0.484432190656662,0.915193915367126,-14.250659942627,-7.63701009750366,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,42,60,40,29.5,45
5,2018,CRIMSON 99-00,CRIMSON,48920.0149331063,12.2,0.0408536866307259,0.0424350500106812,0.0704258009791374,0.0759216472506523,0.125288680195808,0.432330518960953,0.525504231452942,0.528839647769928,0.542860090732574,0.650038599967957,0.285915434360504,0.257588565349579,0.194066345691681,0.80061262845993,0.794823586940765,0.482958912849426,0.905425369739532,-13.9676475524902,-7.20116186141968,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,80,160,40,32,80
6,2018,CRIMSON 04,CRIMSON,45584.6351038506,2.4,0.0537865944206715,0.050284992903471,0.0774168372154236,0.0788131207227707,0.131599187850952,0.423794746398926,0.513287246227264,0.520406067371368,0.529118180274963,0.624054372310638,0.670457363128662,0.238362148404121,0.184610083699226,0.781645953655243,0.782666444778442,0.465618312358856,0.890416145324707,-13.9243774414062,-7.09321880340576,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,80,160,30,32,40
7,2018,TIMCO 14 CR,TIMCO,48340.1290910048,4.1,0.0637073442339897,0.0705403164029121,0.0947838872671127,0.111866489052773,0.15121491253376,0.367541760206223,0.452255338430405,0.460162758827209,0.470435470342636,0.571294069290161,0.472491919994354,0.272519588470459,0.225854188203812,0.72011786699295,0.80114072561264,0.443894267082214,0.885261952877045,-14.8118238449097,-7.93592834472656,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,78,120,30,0,40
8,2018,INIAGRAPE ONE 14,INIAGRAPEONE,56278.9473684211,1.1,0.0551767796278,0.0624477230012417,0.0860497206449509,0.107405103743076,0.145376726984978,0.323325037956238,0.402424097061157,0.409819096326828,0.422038465738297,0.528637647628784,0.429063260555267,0.286242514848709,0.233847245573997,0.635193109512329,0.788988828659058,0.408004701137543,0.849440813064575,-14.0718393325806,-7.91903686523438,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,140,200,70,48,50
9,2018,SABLE 14,SABLE,36081.6737588652,4.2,0.0447095632553101,0.0536814145743847,0.080637201666832,0.103693202137947,0.139654949307442,0.414938718080521,0.519614160060883,0.527634382247925,0.54094672203064,0.645094037055969,1.34628474712372,0.294844776391983,0.241813510656357,0.805940508842468,0.803455054759979,0.49047839641571,0.912314713001251,-14.605206489563,-8.02829647064209,10.43125,21.9229166666667,16.9148132580937,1556.16281974462,16.8854166666667,2.88509656284901,43.6875,92.5454545454545,67.4713483107124,6207.36404458554,67.90625,9.45797967774033,10.43,21.92,16.9152173913043,1556.2,16.885,2.88523771213368,0,6.12,4.28597826086957,394.31,4.7,1.08493789743029,63,120,40,14.4,40
10,2019,THOMPSON 00,THOMPSON,31973.8020833333,9.6,0.0766285583376884,0.107784286141396,0.125927045941353,0.139475733041763,0.169638127088547,0.387943029403687,0.479982554912567,0.484281569719315,0.501715183258057,0.536792993545532,0.455524355173111,0.267335146665573,0.179913014173508,0.705802977085114,0.626425564289093,0.446307867765427,0.700461566448212,-14.5826969146729,-7.98163986206055,10.3464285714286,21.1979166666667,16.9612296898911,1560.43313146998,17.3450181159421,2.85399288071626,47.7083333333333,87.7142857142857,67.4857307888499,6208.68723257419,67.78125,8.34904481949112,10.35,21.2,16.9610869565217,1560.42,17.345,2.85404338451733,0.09,4.96,3.7904347826087,348.72,4.045,1.07504041635599,42,60,30,28.8,40
