B1_max,B2_max,B3_max,B4_max,B5_max,B6_max,B7_max,B8_max,B8A_max,B9_max,B10_max,B11_max,B12_max,EVI_max,GNDVI_max,NDMI_max,NDVI_max,VH_max,VV_max,Year,Field
0.0538108423352242,0.0625313296914101,0.0935186743736267,0.103598020970821,0.155003488063812,0.348332047462463,0.42821878194809,0.432218104600906,0.445761114358902,0.548276722431183,0.964292824268341,0.249293237924576,0.201709434390068,0.668529391288757,0.766774713993073,0.419326335191727,0.857242107391357,-15.2732839584351,-9.01685619354248,2018,ARRA 15 CR
0.0563025362789631,0.0659244582056999,0.0861518979072571,0.11492969840765,0.14370784163475,0.361695408821106,0.438617378473282,0.4429731965065,0.457705050706863,0.447860687971115,0.207842901349068,0.260176062583923,0.227277755737305,0.659052968025208,0.741699993610382,0.393344521522522,0.828747570514679,-14.7893924713135,-8.29392242431641,2019,ARRA 15 CR
0.0383302010595798,0.0474324859678745,0.0775938108563423,0.0939950123429298,0.141270473599434,0.354185402393341,0.440635412931442,0.450120717287064,0.46423327922821,0.519446551799774,0.189898625016212,0.251329243183136,0.189016908407211,0.693114697933197,0.763368308544159,0.410431385040283,0.843748450279236,-15.0028314590454,-8.42517280578613,2020,ARRA 15 CR
0.0534390471875668,0.0498304441571236,0.0770993456244469,0.0787379592657089,0.131656587123871,0.426338285207748,0.517123222351074,0.523856699466705,0.532765626907349,0.626160144805908,0.672038853168488,0.23849792778492,0.184441149234772,0.787960231304169,0.785088062286377,0.469320029020309,0.894314885139465,-13.9243774414062,-7.09321880340576,2018,CRIMSON 04
0.0635374039411545,0.0639835149049759,0.0828736424446106,0.11036329716444,0.144202500581741,0.388250529766083,0.473016113042831,0.477966517210007,0.493027150630951,0.532960057258606,0.468393743038177,0.307146400213242,0.251614302396774,0.725766360759735,0.7748743891716,0.447703123092651,0.876014292240143,-14.4743375778198,-7.52706813812256,2019,CRIMSON 04
0.0536466278135777,0.0553216300904751,0.0774450376629829,0.0947441533207893,0.138189673423767,0.265656650066376,0.307879418134689,0.320456266403198,0.330898463726044,0.482657134532928,3.53789687156677,0.268106639385223,0.199919819831848,0.458353161811829,0.664605796337128,0.181225135922432,0.681053221225739,-13.8636236190796,-7.41950654983521,2020,CRIMSON 04
0.0405964031815529,0.0423185005784035,0.0705421939492226,0.0764192342758179,0.125607505440712,0.432296395301819,0.525569975376129,0.530985236167908,0.542844355106354,0.650799989700317,0.286637187004089,0.257898360490799,0.194312110543251,0.804030656814575,0.794897317886353,0.484205722808838,0.906503438949585,-13.9676475524902,-7.20116186141968,2018,CRIMSON 99-00
0.0521876290440559,0.0603395476937294,0.0776416882872581,0.106643237173557,0.136724144220352,0.387774676084518,0.472478240728378,0.477474987506866,0.491666972637177,0.511012434959412,0.514230966567993,0.312253803014755,0.254765957593918,0.731734812259674,0.787102162837982,0.455442100763321,0.888745069503784,-14.3635864257812,-7.58056306838989,2019,CRIMSON 99-00
0.0665395930409431,0.0734216570854187,0.0900239571928978,0.11970929056406,0.153140127658844,0.232312470674515,0.270160973072052,0.283444404602051,0.296928524971008,0.502865254878998,6.36053562164307,0.299280434846878,0.236397296190262,0.368692457675934,0.625311076641083,0.0782122388482094,0.582234859466553,-13.9788007736206,-7.45846128463745,2020,CRIMSON 99-00
0.0546821653842926,0.0615817867219448,0.0852738916873932,0.106484815478325,0.144628077745438,0.325223982334137,0.405607908964157,0.414134740829468,0.425187408924103,0.530321955680847,0.431217938661575,0.286401152610779,0.23309662938118,0.645334303379059,0.794679701328278,0.413556277751923,0.858044564723969,-14.0718393325806,-7.91903686523438,2018,INIAGRAPE ONE 14
0.0531907118856907,0.0642535537481308,0.0843590870499611,0.115579433739185,0.143667653203011,0.295903950929642,0.360437512397766,0.374283522367477,0.383546859025955,0.490569323301315,0.2333614975214,0.294762164354324,0.248732268810272,0.563455939292908,0.748729526996613,0.342709094285965,0.792466998100281,-15.3543891906738,-9.06641101837158,2019,INIAGRAPE ONE 14
0.0395961962640285,0.0515178181231022,0.0766481906175613,0.104990564286709,0.140114977955818,0.329740703105927,0.421319782733917,0.434556484222412,0.442498654127121,0.507041931152344,0.870017111301422,0.27206689119339,0.213301613926888,0.662505447864532,0.791049003601074,0.412211060523987,0.848279714584351,-15.1400918960571,-8.39119529724121,2020,INIAGRAPE ONE 14
0.0715064778923988,0.0827759876847267,0.105859324336052,0.130999684333801,0.164637327194214,0.263959348201752,0.299858778715134,0.302279770374298,0.32106938958168,0.454132288694382,0.59009838104248,0.27389058470726,0.239769637584686,0.366296797990799,0.62683892250061,0.213731452822685,0.601216912269592,-16.0057334899902,-9.89895534515381,2018,INIAGRAPE ONE 15
0.0467702969908714,0.0611557886004448,0.0810538902878761,0.107873775064945,0.133131846785545,0.325471639633179,0.403685450553894,0.409143656492233,0.421532720327377,0.498463600873947,0.125089630484581,0.235903516411781,0.209123268723488,0.638084053993225,0.79377156496048,0.411704540252686,0.860099375247955,-14.193000793457,-8.06220722198486,2019,INIAGRAPE ONE 15
0.0340371169149876,0.0513890236616135,0.0773594379425049,0.103085495531559,0.138025239109993,0.337376892566681,0.437318921089172,0.444593280553818,0.459886968135834,0.567753911018372,0.523123264312744,0.257948607206345,0.204027026891708,0.699654638767242,0.81877738237381,0.445539444684982,0.888321042060852,-13.8260812759399,-7.63434171676636,2020,INIAGRAPE ONE 15
