Continent;Country;Series;Year;Unit;Value
Africa;Mauritania;"Table grapes consumption";2016;tonnes;82
Africa;Mauritius;"Table grapes consumption";2016;tonnes;1681
America;Mexico;"Table grapes consumption";2016;tonnes;170168
Europe;"Moldova, Republic";"Table grapes consumption";2016;tonnes;51000
Asia;Mongolia;"Table grapes consumption";2016;tonnes;89
Europe;Montenegro;"Table grapes consumption";2016;tonnes;21890
Africa;Morocco;"Table grapes consumption";2016;tonnes;289934
Africa;Mozambique;"Table grapes consumption";2016;tonnes;256
Africa;Namibia;"Table grapes consumption";2016;tonnes;10079
Asia;Nepal;"Table grapes consumption";2016;tonnes;9001
America;"Netherlands Antilles";"Table grapes consumption";2016;tonnes;39
Europe;Netherlands;"Table grapes consumption";2016;tonnes;39275
Oceania;"New Caledonia";"Table grapes consumption";2016;tonnes;534
Oceania;"New Zealand";"Table grapes consumption";2016;tonnes;21297
Africa;Niger;"Table grapes consumption";2016;tonnes;16
Africa;Nigeria;"Table grapes consumption";2016;tonnes;920
Europe;Norway;"Table grapes consumption";2016;tonnes;26857
Asia;Pakistan;"Table grapes consumption";2016;tonnes;1495
America;Panama;"Table grapes consumption";2016;tonnes;5428
Oceania;"Papua New Guinea";"Table grapes consumption";2016;tonnes;111
America;Paraguay;"Table grapes consumption";2016;tonnes;211
America;Peru;"Table grapes consumption";2016;tonnes;255397
Asia;Philippines;"Table grapes consumption";2016;tonnes;21965
Europe;Poland;"Table grapes consumption";2016;tonnes;91106
Europe;Portugal;"Table grapes consumption";2016;tonnes;41000
Europe;"Republic Of North Macedonia";"Table grapes consumption";2016;tonnes;100000
Africa;"Reunion Island";"Table grapes consumption";2016;tonnes;196
Europe;Romania;"Table grapes consumption";2016;tonnes;86158
Europe;"Russian Federation";"Table grapes consumption";2016;tonnes;380000
Africa;Rwanda;"Table grapes consumption";2016;tonnes;18
America;"Saint Kitts And Nevis";"Table grapes consumption";2016;tonnes;8
America;"Saint Lucia";"Table grapes consumption";2016;tonnes;109
America;"Saint Pierre And Miquelon";"Table grapes consumption";2016;tonnes;0
America;"Saint Vincent And The Grenadines";"Table grapes consumption";2016;tonnes;39
Africa;"Sao Tome And Príncipe";"Table grapes consumption";2016;tonnes;9
Asia;"Saudi Arabia";"Table grapes consumption";2016;tonnes;166464
Africa;Senegal;"Table grapes consumption";2016;tonnes;394
Asia;"Serbia And Montenegro";"Table grapes consumption";2016;tonnes;0
Europe;Serbia;"Table grapes consumption";2016;tonnes;18670
Africa;Seychelles;"Table grapes consumption";2016;tonnes;72
Africa;"Sierra Leone";"Table grapes consumption";2016;tonnes;19
Asia;Singapore;"Table grapes consumption";2016;tonnes;12879
Europe;Slovakia;"Table grapes consumption";2016;tonnes;786
Europe;Slovenia;"Table grapes consumption";2016;tonnes;36112
Africa;Somalia;"Table grapes consumption";2016;tonnes;2
Africa;"South Africa";"Table grapes consumption";2016;tonnes;29770
Europe;Spain;"Table grapes consumption";2016;tonnes;161510
Asia;"Sri Lanka";"Table grapes consumption";2016;tonnes;4615
Asia;"State Of Palestine";"Table grapes consumption";2016;tonnes;10611
Africa;Sudan;"Table grapes consumption";2016;tonnes;3481
Africa;Swaziland;"Table grapes consumption";2016;tonnes;276
Europe;Sweden;"Table grapes consumption";2016;tonnes;22545
